  sample.cpp
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(298,12): warning C4244: 'argument': conversion from 'time_t' to 'unsigned int', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(844,22): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(844,15): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(864,18): warning C4244: 'argument': conversion from 'double' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(864,15): warning C4244: 'argument': conversion from 'double' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(864,12): warning C4244: 'argument': conversion from 'double' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(878,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(878,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(878,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(879,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(879,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(879,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(880,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(880,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(880,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(881,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(881,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(881,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(884,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(884,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(884,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(885,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(885,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(885,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(886,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(886,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(886,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(887,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(887,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(887,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(890,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(890,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(890,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(891,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(891,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(891,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(892,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(892,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(892,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(893,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(893,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(893,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(896,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(896,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(896,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(897,41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(897,31): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(897,20): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(898,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(898,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(898,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(899,28): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(899,23): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(899,16): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
sample.obj : warning LNK4075: ignoring '/EDITANDCONTINUE' due to '/INCREMENTAL:NO' specification
  Sample.vcxproj -> C:\Users\jackh\Documents\School\CS 450\Project 1\Debug\Sample.exe
